Name,Municipality,County,Address,Student body count,Latitude,Longitude
Vikten skole,Flakstad,Nordland,"Vikten, 8382 NAPP",35,68.1431955,13.3153912
Fygle skole,Vestvågøy,Nordland,"Ramsvikveien 5, 8370 LEKNES",80,68.144426,13.6506626
Leknes skole,Vestvågøy,Nordland,"Idrettsgata 64, 8370 LEKNES",271,68.1447282,13.6231659
Valberg skole,Vestvågøy,Nordland,"Torvhaugveien 2, 8370 LEKNES",2,68.1448051,13.6004475
Henningsvær skole,Vågan,Nordland,"8312, HENNINGSVÆR  ",3,68.1545681,14.2026068
Ulvsvåg skole,Hamarøy,Nordland,"8276, ULVSVÅG  ",5,68.164909,15.4405315
Hamarøy Sentralskole,Hamarøy,Nordland,"8294, HAMARØY  ",10,68.164909,15.4405315
Skrova skole,Vågan,Nordland,"Randebekken, 8320 SKROVA",16,68.1693046,14.6618086
Opdøl skole,Vestvågøy,Nordland,"Leknesveien 413, 8370 LEKNES",5,68.1878308,13.6543458
Ørsnes Privatskole,Vågan,Nordland,"Sjøveien 9, 8310 KABELVÅG",1,68.1993895,14.3960203
Kabelvåg barneskole,Vågan,Nordland,"Tore Hjorts Gate, 8310 KABELVÅG",86,68.2095401,14.4757839
